symbol,date,direction,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,risk_points,pnl_points,rr_realized,risk_amount,pnl_amount,score,exit_reason,setup_notes
NIFTY,2026-03-04,BULLISH,2026-03-04 10:46:00,2026-03-04T11:07:00.000000,24403.91,24437.35,24372.6938,24437.35,31.2163,10.7123,1.0712,750.0,803.43,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-09,BULLISH,2026-03-09 10:51:00,2026-03-09T10:54:00.000000,23795.0687,23862.35,23743.1812,23862.35,51.8875,12.9668,1.2967,750.0,972.51,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-11,BEARISH,2026-03-11 13:45:00,2026-03-11T14:18:00.000000,23954.8562,23929.4,23988.2393,23913.45,33.3831,12.4034,1.2403,750.0,930.25,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-16,BEARISH,2026-03-16 13:05:00,2026-03-16T13:05:00.000000,23117.4819,23120.95,23141.2366,23093.25,23.7547,10.2008,1.0201,750.0,765.06,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-23,BEARISH,2026-03-23 12:51:00,2026-03-23T12:58:00.000000,22523.7709,22492.7,22561.4679,22482.95,37.6969,10.8287,1.0829,750.0,812.15,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-05-07,BULLISH,2026-05-07 12:37:00,2026-05-07T12:39:00.000000,24359.6034,24438.4,24322.2143,24438.4,37.3891,21.0747,2.1075,750.0,1580.61,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-06-04,BEARISH,2026-06-04 13:12:00,2026-06-04T13:14:00.000000,23385.4417,23368.55,23428.1946,23332.8,42.753,12.313,1.2313,750.0,923.47,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-06-09,BEARISH,2026-06-09 11:41:00,2026-06-09T11:46:00.000000,23136.729,23163.3107,23163.3107,23109.45,26.5817,-10.0,-1.0,750.0,-750.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2025-12-30,BULLISH,2025-12-30 11:06:00,2025-12-30T11:11:00.000000,84668.9684,84605.4002,84605.4002,84802.64,63.5683,-20.0,-1.0,400.0,-400.0,90,STOP,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-02-04,BEARISH,2026-02-04 11:10:00,2026-02-04T14:18:00.000000,83687.385,83905.2684,83905.2684,83119.95,217.8834,-20.0,-1.0,400.0,-400.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-03-02,BEARISH,2026-03-02 10:13:00,2026-03-02T15:00:00.000000,80241.192,80147.54,80686.9084,78543.73,445.7164,71.6501,3.5825,400.0,1433.0,90,TIME_EXIT,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-03-09,BULLISH,2026-03-09 10:51:00,2026-03-09T10:54:00.000000,76864.3179,77067.71,76673.1807,77067.71,191.1372,21.2823,1.0641,400.0,425.65,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-03-12,BULLISH,2026-03-12 11:25:00,2026-03-12T13:05:00.000000,76360.4123,76215.9743,76215.9743,76576.49,144.4381,-20.0,-1.0,400.0,-400.0,90,STOP,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-03-27,BEARISH,2026-03-27 13:22:00,2026-03-27T13:33:00.000000,74023.9847,73932.42,74120.2804,73924.32,96.2956,20.6997,1.035,400.0,413.99,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-04-02,BULLISH,2026-04-02 12:25:00,2026-04-02T12:30:00.000000,71788.6967,71891.48,71732.4984,71891.48,56.1983,36.5788,1.8289,400.0,731.58,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-04-21,BULLISH,2026-04-21 13:13:00,2026-04-21T13:32:00.000000,79195.1975,79282.65,79118.5062,79282.65,76.6912,22.8064,1.1403,400.0,456.13,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-06-04,BEARISH,2026-06-04 13:12:00,2026-06-04T13:14:00.000000,74264.8186,74211.39,74409.8691,74107.76,145.0505,21.6557,1.0828,400.0,433.11,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
SENSEX,2026-06-08,BULLISH,2026-06-08 10:31:00,2026-06-08T10:34:00.000000,73653.4564,73748.22,73573.5361,73748.22,79.9203,23.7145,1.1857,400.0,474.29,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=2;margin=200000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-01-01,BEARISH,2026-01-01 12:36:00,2026-01-01T12:49:00.000000,1577.5633,1580.8,1580.8,1574.3,3.2367,-4.0,-1.0,1000.0,-1000.0,100,STOP,BOS;OB_mitigation;PDH_confluence;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-01-16,BEARISH,2026-01-16 11:57:00,2026-01-16T11:59:00.000000,1468.0798,1467.2,1471.3214,1464.4,3.2417,4.5406,1.1351,1000.0,1135.14,100,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-02-04,BULLISH,2026-02-04 10:48:00,2026-02-04T11:12:00.000000,1457.5186,1451.8304,1451.8304,1464.0,5.6882,-4.0,-1.0,1000.0,-1000.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-02-27,BULLISH,2026-02-27 13:20:00,2026-02-27T14:43:00.000000,1406.2109,1403.0,1403.0,1410.4,3.2109,-4.0,-1.0,1000.0,-1000.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-03-02,BEARISH,2026-03-02 11:50:00,2026-03-02T12:15:00.000000,1362.5956,1358.9,1366.0286,1358.6,3.433,4.6555,1.1639,1000.0,1163.88,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-03-09,BEARISH,2026-03-09 09:42:00,2026-03-09T09:55:00.000000,1396.9904,1406.6393,1406.6393,1370.0,9.6489,-4.0,-1.0,1000.0,-1000.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-03-10,BULLISH,2026-03-10 10:01:00,2026-03-10T15:00:00.000000,1412.3118,1409.8,1399.0518,1431.5,13.26,1.0,0.25,1000.0,250.0,90,TIME_EXIT,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-05-05,BEARISH,2026-05-05 11:52:00,2026-05-05T12:06:00.000000,1453.5819,1456.8464,1456.8464,1450.0,3.2645,-4.0,-1.0,1000.0,-1000.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-06-02,BEARISH,2026-06-02 09:43:00,2026-06-02T09:57:00.000000,1315.6026,1320.9161,1320.9161,1307.5,5.3134,-4.0,-1.0,1000.0,-1000.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-06-02,BEARISH,2026-06-02 10:05:00,2026-06-02T10:56:00.000000,1314.4028,1308.0,1320.9286,1307.5,6.5258,4.2311,1.0578,1000.0,1057.78,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
RELIANCE,2026-06-12,BEARISH,2026-06-12 11:28:00,2026-06-12T12:29:00.000000,1269.2096,1266.6,1272.3,1265.3,3.0904,5.0603,1.2651,1000.0,1265.07,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=1000.0;Ratio;trig=choch;sl=5m_origin
