reward_rs,credit_premium_pct,trades,win_rate,total_profit_rs,total_pnl_r,profit_factor
3000,0.9090909090909091,139,0.7482014388489209,284094.54881818214,962.7814,28.632724127259227
3050,0.9104477611940298,139,0.7482014388489209,285913.91084776074,979.4778999999994,29.18120730325178
3100,0.9117647058823529,139,0.7482014388489209,287716.9762941176,996.1657000000007,29.731473566418778
3150,0.9130434782608695,139,0.7482014388489209,289509.42161739134,1012.8623000000001,30.28401601343982
3200,0.9142857142857143,139,0.7482014388489209,291289.24536,1029.5588999999995,30.838571007621262
3250,0.9154929577464789,139,0.7482014388489209,293103.0443661971,1046.2464000000007,31.3977741016652
3300,0.9166666666666666,139,0.7482014388489209,294810.6362500006,1062.9431,31.953414368459736
3350,0.9178082191780822,139,0.7482014388489209,308955.85849315074,1079.6398999999997,31.98897728771641
3400,0.918918918918919,139,0.7482014388489209,310711.84297297255,1096.3276000000005,32.5400224691358
3450,0.92,139,0.7482014388489209,312459.5191999999,1113.0242999999998,33.093212736236644
3500,0.9210526315789473,139,0.7482014388489209,314147.78418947395,1129.7209999999995,33.645335759524826
3550,0.922077922077922,139,0.7482014388489209,315872.3494909088,1146.4084000000003,34.20197188841201
3600,0.9230769230769231,139,0.7482014388489209,339582.69461538433,1163.1051000000002,34.59646141552511
3650,0.9240506329113924,139,0.7482014388489209,341324.6293670889,1179.8019999999992,35.14975395136778
3700,0.925,139,0.7482014388489209,355560.7334999994,1196.4896000000006,35.20497676767677
3750,0.9259259259259259,139,0.7482014388489209,357303.4051851854,1213.1861000000001,35.75213234870318
3800,0.926829268292683,139,0.7482014388489209,359036.57341463387,1229.8827999999994,36.30095805755396
3850,0.927710843373494,139,0.7482014388489209,360708.5334361443,1246.5705000000007,36.84833452497269
3900,0.9285714285714286,139,0.7482014388489209,362472.9821428567,1263.2671,37.40331241032998
3950,0.9294117647058824,139,0.7482014388489209,364179.4958823529,1279.9637999999995,37.95708828796562
4000,0.9302325581395349,139,0.7482014388489209,365825.6428325578,1296.6515000000006,38.50930583009042
4050,0.9310344827586207,139,0.7482014388489209,367515.77663448366,1313.3479,39.06630922624149
4100,0.9318181818181818,139,0.7482014388489209,369198.2523818192,1330.0444999999993,39.6249408068934
4150,0.9325842696629213,139,0.7482014388489209,383541.3206831459,1346.7324000000006,39.65153171911517
4200,0.9333333333333333,139,0.7482014388489209,385275.079333333,1363.4288999999999,40.20709762550882
4250,0.9340659340659341,139,0.7482014388489209,409274.30208791175,1380.1257999999993,40.612807370772174
4300,0.9347826086956522,139,0.7482014388489209,410966.0582608692,1396.8134000000007,41.1623936265137
4350,0.9354838709677419,139,0.7482014388489209,412603.23279999994,1413.5101000000002,41.71085802205077
4400,0.9361702127659575,139,0.7482014388489209,414332.9406382981,1430.2064999999993,42.26647215511761
4450,0.9368421052631579,139,0.7482014388489209,416003.35642105254,1446.8943000000006,42.82044323809523
4500,0.9375,139,0.7482014388489209,430446.2275,1463.5908000000004,42.86711027355623
4550,0.9381443298969072,139,0.7482014388489209,432119.9734020621,1480.2875999999994,43.41614796599879
4600,0.9387755102040817,139,0.7482014388489209,433784.4930612239,1496.9753000000007,43.96632334748332
4650,0.9393939393939394,139,0.7482014388489209,435445.1842424239,1513.6717999999998,44.518143791641435
4700,0.94,139,0.7482014388489209,437049.6135840007,1530.3686999999995,45.06843783365197
4750,0.9405940594059405,139,0.7482014388489209,438695.5319762387,1547.0563000000006,45.62274987068861
4800,0.9411764705882353,139,0.7482014388489209,440338.1430823525,1563.7528,46.17869560630568
4850,0.941747572815534,139,0.7482014388489209,442025.4634951458,1580.4495999999992,46.73902224231465
4900,0.9423076923076923,139,0.7482014388489209,443604.179007693,1597.1373000000006,47.29445790766563
4950,0.9428571428571428,139,0.7482014388489209,480747.80562285736,1613.8337,47.17703630455783
5000,0.9433962264150944,139,0.7482014388489209,482449.51018867944,1630.5305999999994,47.72847960526315
5050,0.9439252336448598,139,0.7482014388489209,484042.10321495374,1647.218300000001,48.27525945276902
5100,0.9444444444444444,139,0.7482014388489209,485682.26136666787,1663.9149,48.82638575320583
5150,0.944954128440367,139,0.7482014388489209,487367.66091743094,1680.611699999999,49.38167125683059
5200,0.9454545454545454,139,0.7482014388489209,488944.2551018193,1697.2993000000006,49.93214774771825
5250,0.9459459459459459,139,0.7482014388489209,490619.42378378386,1713.9956999999997,50.48996368593239
5300,0.9464285714285714,139,0.7482014388489209,492188.6995392863,1730.6924999999987,51.04315216022485
5350,0.9469026548672567,139,0.7482014388489209,506831.51840707887,1747.3801000000008,51.08041411332634
5400,0.9473684210526315,139,0.7482014388489209,508401.3993263162,1764.0767999999998,51.62909654073546
5450,0.9478260869565217,139,0.7482014388489209,510017.23865739297,1780.7735999999993,52.18188409776325
5500,0.9482758620689655,139,0.7482014388489209,511676.56965517194,1797.4611000000007,52.73856527196653
5550,0.9487179487179487,139,0.7482014388489209,513232.6370871795,1814.1577,53.290777165189766
5600,0.9491525423728814,139,0.7482014388489209,537727.9894067799,1830.8544999999995,53.692163054309916
5650,0.9495798319327731,139,0.7482014388489209,539287.5574285715,1847.5421000000003,54.24189061286662
5700,0.95,139,0.7482014388489209,540896.1299899996,1864.2386000000001,54.79588745350387
5750,0.9504132231404959,139,0.7482014388489209,555606.9671900823,1880.9353999999992,54.84305864968765
5800,0.9508196721311475,139,0.7482014388489209,557162.4339540988,1897.6229000000008,55.38984449906863
5850,0.9512195121951219,139,0.7482014388489209,558767.287112196,1914.3196999999998,55.94085809431538
5900,0.9516129032258065,139,0.7482014388489209,560418.9324193546,1931.0163999999993,56.495885337805454
5950,0.952,139,0.7482014388489209,561962.1715872014,1947.7042000000006,57.04592440782797
6000,0.9523809523809523,139,0.7482014388489209,563554.8872571448,1964.4005,57.60021728425765
